"year","month","time","ts","NW","NO","SW","SO","DE","countDE"
0,6,0-06-01 00:00:00,0.5,-1.1562115384615386,-1.337369230769231,-1.0099999999999998,-1.1063999999999996,-1.14258695652174,276.0
1,6,1-06-01 00:00:00,1.5,-1.8711538461538464,-1.999030769230769,-1.8433670886075946,-0.2788749999999999,-1.431786231884057,276.0
2,6,2-06-01 00:00:00,2.5,-0.785192307692308,-1.0071076923076923,-0.6260506329113923,2.02405,0.022369565217391085,276.0
3,6,3-06-01 00:00:00,3.5,-0.10490384615384617,-0.18369230769230774,0.897240506329114,4.205075000000001,1.4126557971014495,276.0
4,6,4-06-01 00:00:00,4.5,-3.2408653846153848,-2.7148000000000003,-2.24113924050633,0.7127249999999997,-1.6848514492753628,276.0
5,6,5-06-01 00:00:00,5.5,-1.2914807692307693,-1.1010923076923074,-1.1104683544303797,0.15042500000000011,-0.7768876811594205,276.0
6,6,6-06-01 00:00:00,6.5,0.912173076923077,1.0468769230769228,0.9925822784810127,1.0251875000000001,0.9996702898550727,276.0
7,6,7-06-01 00:00:00,7.5,0.9043461538461539,0.9462461538461536,0.8572278481012657,0.09863749999999993,0.6671884057971014,276.0
8,6,8-06-01 00:00:00,8.5,0.7503269230769228,0.6928461538461537,0.33196202531645563,-0.03734999999999988,0.38872826086956513,276.0
9,6,9-06-01 00:00:00,9.5,1.0946538461538464,1.0566,1.1085316455696208,1.3327999999999998,1.1586920289855087,276.0
10,6,10-06-01 00:00:00,10.5,-1.5693076923076923,-1.1837846153846154,-1.3155696202531644,0.28679999999999994,-0.8678840579710145,276.0
11,6,11-06-01 00:00:00,11.5,-2.5777884615384616,-1.9725538461538463,-1.823493670886076,-0.2481875000000001,-1.5441014492753622,276.0
12,6,12-06-01 00:00:00,12.5,-3.4594807692307685,-2.8558615384615385,-3.0117088607594944,-1.8013749999999997,-2.708547101449276,276.0
13,6,13-06-01 00:00:00,13.5,-4.8481538461538465,-4.358246153846154,-4.4553037974683525,-2.6007375000000015,-3.9689057971014465,276.0
14,6,14-06-01 00:00:00,14.5,-2.2694038461538457,-2.056553846153846,-2.1984556962025312,-1.0839375,-1.8553550724637673,276.0
15,6,15-06-01 00:00:00,15.5,-1.6265192307692309,-2.0356923076923077,-1.5485822784810128,-1.4251375000000004,-1.6422028985507247,276.0
16,6,16-06-01 00:00:00,16.5,-0.7344423076923078,-0.7741076923076927,-0.2885949367088608,1.0002125000000002,-0.1133695652173915,276.0
17,6,17-06-01 00:00:00,17.5,1.994307692307692,1.6726307692307694,1.8676835443037971,0.6941875,1.5054601449275367,276.0
18,6,18-06-01 00:00:00,18.5,0.6985192307692307,0.4803846153846153,0.689417721518987,0.5121999999999999,0.5905362318840581,276.0
19,6,19-06-01 00:00:00,19.5,-0.5431346153846154,-0.6141076923076922,-0.705139240506329,0.9541499999999999,-0.17222463768115942,276.0
20,6,20-06-01 00:00:00,20.5,-0.5995961538461538,-0.8819999999999999,0.2408481012658228,2.1329500000000006,0.3665000000000004,276.0
21,6,21-06-01 00:00:00,21.5,-2.258692307692308,-1.8646461538461538,-1.5747594936708855,2.4863875,-0.594742753623188,276.0
22,6,22-06-01 00:00:00,22.5,-2.3709807692307687,-1.9637692307692314,-1.8717974683544298,1.2926250000000004,-1.0702826086956523,276.0
23,6,23-06-01 00:00:00,23.5,-1.8463461538461532,-2.078230769230769,-2.2320886075949367,-0.055587499999999804,-1.4923079710144929,276.0
24,6,24-06-01 00:00:00,24.5,1.4008269230769235,1.2437538461538462,2.1797341772151895,4.4851125,2.480778985507247,276.0
25,6,25-06-01 00:00:00,25.5,-3.010653846153846,-2.6292923076923085,-2.504962025316455,0.15609999999999974,-1.8581956521739138,276.0
26,6,26-06-01 00:00:00,26.5,-0.8091923076923077,-0.6206615384615386,-0.5222278481012659,1.4162000000000003,-0.03761231884057964,276.0
27,6,27-06-01 00:00:00,27.5,-1.22725,-1.123476923076923,-0.6471518987341772,0.5979125,-0.5077355072463767,276.0
28,6,28-06-01 00:00:00,28.5,-2.796269230769231,-2.767676923076923,-2.4593037974683543,0.39223750000000024,-1.7688804347826086,276.0
29,6,29-06-01 00:00:00,29.5,-4.476519230769231,-4.092984615384616,-3.5856835443037975,0.6793124999999993,-2.6367644927536222,276.0
30,6,30-06-01 00:00:00,30.5,-1.9432499999999993,-1.9417692307692314,-1.6508607594936706,0.9958249999999997,-1.0073043478260868,276.0
31,6,31-06-01 00:00:00,31.5,-2.1216923076923075,-2.2100307692307686,-1.501873417721519,0.02218749999999961,-1.3436702898550728,276.0
32,6,32-06-01 00:00:00,32.5,1.4052692307692307,1.0049692307692308,1.519873417721518,1.2461249999999997,1.297670289855072,276.0
33,6,33-06-01 00:00:00,33.5,1.2264230769230768,1.0087384615384616,1.5690126582278485,0.9258625000000004,1.1860978260869564,276.0
34,6,34-06-01 00:00:00,34.5,1.7372307692307696,1.7040461538461544,2.204544303797469,0.9804250000000003,1.643811594202899,276.0
35,6,35-06-01 00:00:00,35.5,0.09053846153846154,-0.0025384615384615337,-0.028620253164557,-1.5076874999999998,-0.4287427536231881,276.0
36,6,36-06-01 00:00:00,36.5,1.0161730769230768,1.0919538461538458,0.8053670886075949,0.9163375,0.9447427536231883,276.0
37,6,37-06-01 00:00:00,37.5,0.7363461538461535,1.243015384615385,0.37100000000000005,0.8102375,0.7725144927536234,276.0
38,6,38-06-01 00:00:00,38.5,-0.3302115384615385,0.19646153846153847,-0.1417848101265822,-0.7466124999999997,-0.27293840579710177,276.0
