"year","NW","NO","SW","SO","DE","countDE"
0,-1.107875,-1.17018823529,-0.9494375,-1.24892553191,-1.11751585014,347.0
1,-1.88213888889,-1.8428,-1.613625,0.0256170212766,-1.28141786744,347.0
2,-0.884069444444,-0.713305882353,-0.401875,2.06020212766,0.0887463976945,347.0
3,-0.213472222222,0.297964705882,1.70136458333,4.14964893617,1.62350144092,347.0
4,-3.04325,-2.59014117647,-1.67592708333,1.64791489362,-1.28317291066,347.0
5,-1.10144444444,-1.08904705882,-1.53371875,0.416159574468,-0.806890489914,347.0
6,1.07002777778,1.13957647059,0.30575,0.615446808511,0.752478386167,347.0
7,1.03311111111,1.07201176471,0.221020833333,-0.553223404255,0.388242074928,347.0
8,0.819819444444,0.785988235294,-0.297479166667,-0.581234042553,0.122887608069,347.0
9,1.09148611111,1.37707058824,0.9623125,0.522489361702,0.971567723343,347.0
10,-1.52634722222,-0.870811764706,-1.00134375,0.165531914894,-0.762204610951,347.0
11,-2.28695833333,-1.88048235294,-1.51915625,0.339138297872,-1.26357925072,347.0
12,-3.27795833333,-2.65389411765,-2.60598958333,-1.63024468085,-2.49282997118,347.0
13,-4.54684722222,-4.40670588235,-3.99525,-1.39307446809,-3.50557925072,347.0
14,-2.05484722222,-2.12011764706,-2.202625,-0.386840425532,-1.65986743516,347.0
15,-1.64068055556,-1.87508235294,-1.211875,-1.40156382979,-1.51469164265,347.0
16,-0.428361111111,-0.967329411765,-0.378385416667,2.17328723404,0.15821037464,347.0
17,2.06516666667,1.80916470588,1.05222916667,-0.170957446809,1.11646974063,347.0
18,0.653277777778,0.773388235294,0.53596875,-0.217925531915,0.414242074928,347.0
19,-0.664666666667,-0.320482352941,-0.5771875,0.75170212766,-0.172469740634,347.0
20,-0.598763888889,-0.584270588235,0.848552083333,2.341,0.60155907781,347.0
21,-2.30416666667,-1.38671764706,-0.793229166667,2.59382978723,-0.334585014409,347.0
22,-2.33908333333,-1.66338823529,-1.47276041667,1.56369148936,-0.876657060519,347.0
23,-1.90752777778,-1.99011764706,-2.37620833333,0.275946808511,-1.46593371758,347.0
24,1.35026388889,1.66188235294,2.51575,4.09827659574,2.49345533141,347.0
25,-2.98619444444,-2.38074117647,-1.95225,0.560234042553,-1.59113256484,347.0
26,-0.730069444444,-0.432658823529,-0.5431875,1.50494680851,-6.34005763688e-05,347.0
27,-1.18447222222,-0.849564705882,-0.341489583333,0.494095744681,-0.414504322767,347.0
28,-3.00280555556,-2.23802352941,-1.43160416667,0.285712765957,-1.48994524496,347.0
29,-4.30055555556,-4.02916470588,-2.60916666667,2.36207446809,-1.9612795389,347.0
30,-2.01822222222,-1.64471764706,-1.20438541667,1.16985106383,-0.837948126801,347.0
31,-1.90595833333,-2.35354117647,-1.34960416667,1.35625531915,-0.977965417867,347.0
32,1.47158333333,1.05378823529,0.980802083333,0.993053191489,1.10383285303,347.0
33,1.366625,1.05512941176,1.1095,0.729095744681,1.04648414986,347.0
34,1.98793055556,1.74687058824,1.65814583333,0.641404255319,1.47287896254,347.0
35,0.263402777778,0.0224352941176,-0.652791666667,-1.98764893617,-0.658890489914,347.0
36,1.18594444444,1.22381176471,0.140197916667,0.325840425532,0.672910662824,347.0
37,0.811208333333,1.52021176471,-0.309947916667,-0.190765957447,0.403279538905,347.0
38,-0.0615972222222,0.288482352941,-0.538427083333,-1.06821276596,-0.380446685879,347.0
39,-1.51841666667,-1.39094117647,-1.94329166667,-2.63206382979,-1.90641498559,347.0
40,-1.99516666667,-1.88704705882,-3.38246875,-1.06753191489,-2.10119884726,347.0
41,1.54502777778,1.17475294118,0.280145833333,-0.0629787234043,0.66878962536,347.0
42,1.30755555556,1.07402352941,-0.413572916667,-1.4289787234,0.032878962536,347.0
43,3.13309722222,2.20644705882,1.26153125,-0.759212765957,1.33392507205,347.0
44,3.57581944444,3.21649411765,2.66977083333,0.319723404255,2.35508069164,347.0
45,1.67431944444,1.69167058824,0.43565625,0.0852446808511,0.905414985591,347.0
46,2.45938888889,2.32755294118,1.6258125,-0.894106382979,1.28804034582,347.0
47,0.0184444444444,-0.317988235294,-1.26720833333,-2.54519148936,-1.11412391931,347.0
